Ela vem de London	Ela	Vir	London	/ˈe.ɫɐ vɐ̃j dɨ ɫõ.ˈdon/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Nós vamos a Lisboa	Nós	Ir	Lisboa	/ˈnɔʒ ˈvɐ.muz ɐ ɫɨʒ.ˈbo.ɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Você vai a Brasília	Você	Ir	Brasília	/vu.ˈse ˈvaj ɐ bɾɐ.ˈzi.ɫɨ.ɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Eles moram na Praia	Eles	Morar	Praia	/ˈe.ɫɨʒ ˈmo.ɾɐ̃w nɐ ˈpɾaj.ɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Elas vêm de Malabo	Elas	Vir	Malabo	/ˈe.ɫɐʒ ˈvɐ̃jɐ̃j dɨ mɐ.ˈɫa.bu/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Nós somos de Bissau	Nós	Ser	Bissau	/ˈnɔʃ ˈso.muʒ dɨ bi.ˈsaw/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Vocês vão a Maputo	Vocês	Ir	Maputo	/vu.ˈseʒ ˈvɐ̃w ɐ mɐ.ˈpu.tu/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Eu venho de Budapeste	Eu	Vir	Budapeste	/ˈew ˈvɐ.ɲu dɨ bu.dɐ.ˈpeʃ.tɨ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Tu és da Suécia	Tu	Ser	Suécia	/ˈtu ˈɛʒ dɐ su.ˈɛ.si.ɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Ele mora na Bélgica	Ele	Morar	Bélgica	/ˈe.ɫɨ ˈmo.ɾɐ nɐ ˈbɛɫ.ʒi.kɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Ela vai à Inglaterra	Ela	Ir	Inglaterra	/ˈe.ɫɐ ˈvaj à ĩ.gɫɐ.ˈte.ʁɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Nós vimos da Noruega	Nós	Vir	Noruega	/ˈnɔʒ ˈvi.muʒ dɐ nu.ɾu.ˈe.gɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Você mora na Rússia	Você	Morar	Rússia	/vu.ˈse ˈmo.ɾɐ nɐ ˈʁu.si.ɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Eles são da Guiné	Eles	Ser	Guiné	/ˈe.ɫɨʃ ˈsɐ̃w dɐ gi.ˈnɛ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Elas vão a Nova Iorque	Elas	Ir	Nova Iorque	/ˈe.ɫɐʒ ˈvɐ̃w ɐ ˈno.vɐ i.ˈoɾ.kɨ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Nós moramos em Los Angeles	Nós	Morar	Los Angeles	/ˈnɔʒ mu.ˈɾɐ.muz ɐ̃j ɫuz ɐ̃.ˈʒe.ɫɨʃ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Vocês são de Valência	Vocês	Ser	Valência	/vu.ˈseʃ ˈsɐ̃w dɨ vɐ.ˈɫẽ.si.ɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Tu vens do México	Tu	Vir	México	/ˈtu vɐ̃jʒ du ˈmɛ.ʃi.ku/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Ele vai aos Estados Unidos	Ele	Ir	Estados Unidos	/ˈe.ɫɨ ˈvaj ˈa.uz ʃ.ˈta.duz u.ˈni.duʃ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Ela mora em Portugal	Ela	Morar	Portugal	/ˈe.ɫɐ ˈmo.ɾɐ ɐ̃j puɾ.tu.ˈgaɫ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Nós vamos à China	Nós	Ir	China	/ˈnɔʒ ˈvɐ.muʃ à ˈʃi.nɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Eles são de Timor-Leste	Eles	Ser	Timor-Leste	/ˈe.ɫɨʃ ˈsɐ̃w dɨ ti.ˈmoɾ-ˈɫeʃ.tɨ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Eu venho de Cabo Verde	Eu	Vir	Cabo Verde	/ˈew ˈvɐ.ɲu dɨ ˈka.bu ˈveɾ.dɨ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Tu moras em Moçambique	Tu	Morar	Moçambique	/ˈtu ˈmo.ɾɐz ɐ̃j mu.sɐ̃.ˈbi.kɨ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Ele vai a Trinidad e Tobago	Ele	Ir	Trinidad e Tobago	/ˈe.ɫɨ ˈvaj ɐ tɾɨ.ni.ˈdad i tu.ˈba.gu/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Ela vem da Alemanha	Ela	Vir	Alemanha	/ˈe.ɫɐ vɐ̃j dɐ ɐ.ɫɨ.ˈmɐ.ɲɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Nós moramos em Angola	Nós	Morar	Angola	/ˈnɔʒ mu.ˈɾɐ.muz ɐ̃j ɐ̃.ˈgo.ɫɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Eles são do Japão	Eles	Ser	Japão	/ˈe.ɫɨʃ ˈsɐ̃w du ʒɐ.ˈpɐ̃w/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Eu moro na França	Eu	Morar	França	/ˈew ˈmo.ɾu nɐ ˈfɾɐ̃.sɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Tu és de Honduras	Tu	Ser	Honduras	/ˈtu ˈɛʒ dɨ õ.ˈdu.ɾɐʃ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Ele vem do Egito	Ele	Vir	Egito	/ˈe.ɫɨ vɐ̃j du .ˈʒi.tu/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Ela vai ao Iraque	Ela	Ir	Iraque	/ˈe.ɫɐ ˈvaj ˈa.u i.ˈɾa.kɨ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Nós moramos nos Camarões	Nós	Morar	Camarões	/ˈnɔʒ mu.ˈɾɐ.muʒ nuʃ kɐ.mɐ.ˈɾõjʃ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Eles vão ao Marrocos	Eles	Ir	Marrocos	/ˈe.ɫɨʒ ˈvɐ̃w ˈa.u ma.ˈʁo.kuʃ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Eu moro em São Tomé	Eu	Morar	São Tomé	/ˈew ˈmo.ɾu ɐ̃j ˈsɐ̃w tu.ˈmɛ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Tu és da Espanha	Tu	Ser	Espanha	/ˈtu ˈɛʒ dɐ ʃ.ˈpɐ.ɲɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Ele vem de Faro	Ele	Vir	Faro	/ˈe.ɫɨ vɐ̃j dɨ ˈfa.ɾu/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Ela vai a Beja	Ela	Ir	Beja	/ˈe.ɫɐ ˈvaj ɐ ˈbɐj.ʒɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Nós moramos em Braga	Nós	Morar	Braga	/ˈnɔʒ mu.ˈɾɐ.muz ɐ̃j ˈbɾa.gɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Eles vêm do Porto	Eles	Vir	Porto	/ˈe.ɫɨʒ ˈvɐ̃jɐ̃j du ˈpoɾ.tu/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Eu vou ao Funchal	Eu	Ir	Funchal	/ˈew ˈvo ˈa.u fũ.ˈʃaɫ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Tu és do Rio de Janeiro	Tu	Ser	Rio de Janeiro	/ˈtu ˈɛʒ du ˈʁi.u dɨ ʒɐ.ˈnɐj.ɾu/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Ele vem de São Paulo	Ele	Vir	São Paulo	/ˈe.ɫɨ vɐ̃j dɨ ˈsɐ̃w ˈpaw.ɫu/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Ela mora na Bahia	Ela	Morar	Bahia	/ˈe.ɫɐ ˈmo.ɾɐ nɐ bɐ.ˈi.ɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Nós vamos a Munique	Nós	Ir	Munique	/ˈnɔʒ ˈvɐ.muz ɐ mu.ˈni.kɨ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Eles moram em Madrid	Eles	Morar	Madrid	/ˈe.ɫɨʒ ˈmo.ɾɐ̃w ɐ̃j mɐ.ˈdɾid/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Eu vou à Cidade do México	Eu	Ir	Cidade do México	/ˈew ˈvo à si.ˈda.dɨ du ˈmɛ.ʃi.ku/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Tu és de Amsterdã	Tu	Ser	Amsterdã	/ˈtu ˈɛʒ dɨ ɐ̃ʃ.tɨɾ.ˈdɐ̃/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Ele vem de Tóquio	Ele	Vir	Tóquio	/ˈe.ɫɨ vɐ̃j dɨ ˈtɔ.ki.u/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Ela mora em Pequim	Ela	Morar	Pequim	/ˈe.ɫɐ ˈmo.ɾɐ ɐ̃j pɨ.ˈkĩ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Nós vamos a Paris	Nós	Ir	Paris	/ˈnɔʒ ˈvɐ.muz ɐ pɐ.ˈɾiʃ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Eles moram em London	Eles	Morar	London	/ˈe.ɫɨʒ ˈmo.ɾɐ̃w ɐ̃j ɫõ.ˈdon/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Eu vou a Lisboa	Eu	Ir	Lisboa	/ˈew ˈvo ɐ ɫɨʒ.ˈbo.ɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Tu és de Luanda	Tu	Ser	Luanda	/ˈtu ˈɛʒ dɨ ɫu.ˈɐ̃.dɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Ele vem de Brasília	Ele	Vir	Brasília	/ˈe.ɫɨ vɐ̃j dɨ bɾɐ.ˈzi.ɫɨ.ɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Ela mora na Praia	Ela	Morar	Praia	/ˈe.ɫɐ ˈmo.ɾɐ nɐ ˈpɾaj.ɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Nós vamos a Malabo	Nós	Ir	Malabo	/ˈnɔʒ ˈvɐ.muz ɐ mɐ.ˈɫa.bu/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Eles moram em Maputo	Eles	Morar	Maputo	/ˈe.ɫɨʒ ˈmo.ɾɐ̃w ɐ̃j mɐ.ˈpu.tu/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Eu vou a Budapeste	Eu	Ir	Budapeste	/ˈew ˈvo ɐ bu.dɐ.ˈpeʃ.tɨ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Tu és da Suécia	Tu	Ser	Suécia	/ˈtu ˈɛʒ dɐ su.ˈɛ.si.ɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Ele vem da Bélgica	Ele	Vir	Bélgica	/ˈe.ɫɨ vɐ̃j dɐ ˈbɛɫ.ʒi.kɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Ela mora na Inglaterra	Ela	Morar	Inglaterra	/ˈe.ɫɐ ˈmo.ɾɐ nɐ ĩ.gɫɐ.ˈte.ʁɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Nós vamos à Noruega	Nós	Ir	Noruega	/ˈnɔʒ ˈvɐ.muʃ à nu.ɾu.ˈe.gɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Eles moram na Rússia	Eles	Morar	Rússia	/ˈe.ɫɨʒ   ˈmo.ɾɐ̃w   nɐ   ˈʁu.si.ɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Eu vou à Guiné	Eu	Ir	Guiné	/ˈew   ˈvo   à   gi.ˈnɛ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Tu és de Nova Iorque	Tu	Ser	Nova Iorque	/ˈtu   ˈɛʒ   dɨ   ˈno.vɐ i.ˈoɾ.kɨ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Ele vem de Los Angeles	Ele	Vir	Los Angeles	/ˈe.ɫɨ   vɐ̃j   dɨ   ɫuz ɐ̃.ˈʒe.ɫɨʃ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Ela mora em Valência	Ela	Morar	Valência	/ˈe.ɫɐ   ˈmo.ɾɐ   ɐ̃j   vɐ.ˈɫẽ.si.ɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Eles vão a Angola	Eles	Ir	Angola	/ˈe.ɫɨʒ   ˈvɐ̃w   ɐ   ɐ̃.ˈgo.ɫɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Os Senhores vêm de Bissau	Os Senhores	Vir	Bissau	/uʃ   sɐ.ˈɲo.ɾɨʒ   ˈvɐ̃jɐ̃j   dɨ   bi.ˈsaw/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
As Senhoras vão ao Brasil	As Senhoras	Ir	Brasil	/ɐʃ   sɐ.ˈɲo.ɾɐʒ   ˈvɐ̃w   ˈa.u bɾɐ.ˈziɫ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Eles vêm do Chile	Eles	Vir	Chile	/ˈe.ɫɨʒ   ˈvɐ̃jɐ̃j   du   ˈʃi.ɫɨ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Elas são da Colômbia	Elas	Ser	Colômbia	/ˈe.ɫɐʃ   ˈsɐ̃w   dɐ   ku.ˈɫo.bi.ɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Elas vão à Itália	Elas	Ir	Itália	/ˈe.ɫɐʒ   ˈvɐ̃w   à   i.ˈta.ɫi.ɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
As Senhoras vêm da Itália	As Senhoras	Vir	Itália	/ɐʃ   sɐ.ˈɲo.ɾɐʒ ˈ  vɐ̃jɐ̃j   dɐ   i.ˈta.ɫi.ɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Os Senhores moram em Luanda	Os Senhores	Morar	Luanda	/uʃ   sɐ.ˈɲo.ɾɨʒ   ˈmo.ɾɐ̃w   ɐ̃j   ɫu.ˈɐ̃.dɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Eles vêm de Moscou	Eles	Vir	Moscou	/ˈe.ɫɨʒ   ˈvɐ̃jɐ̃j   dɨ   muʃ.ˈko/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Eles moram em Munique	Eles	Morar	Munique	/ˈe.ɫɨʒ   ˈmo.ɾɐ̃w   ɐ̃j   mu.ˈni.kɨ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Vocês vão a São Tomé	Vocês	Ir	São Tomé	/vu.ˈseʒ   ˈvɐ̃w   ɐ   ˈsɐ̃w tu.ˈmɛ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Elas vêm de Veneza	Elas	Vir	Veneza	/ˈe.ɫɐʒ   ˈvɐ̃jɐ̃j   dɨ   vɨ.ˈne.zɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
