10248	mais velho, velha		/'vɛʎu/, /'vɛʎɐ/	/'vɛʎu/, /'vɛʎɐ/	adjm , adjf		old	/oʊld/		adj			viejo, vieja	/'bje.xo/, /'bje.xa/		adjm, adjf
10249	profissional		/pɾu.fis.si.o.ˈnal/	/pɾu.fis.si.o.ˈnal/	adj		professional						profesional			
10250	ruivo, ruiva		/'ʁujvu/, /'ʁujvɐ/	/'ʁuivu/, /'ʁuivɐ/	adjm , adjf		red-haired	/ˈrɛdˌhɛrd/		adj			pelirrojo, pelirroja	/peˈli'rroxo/, /peˈli'rroxa/		adjm, adjf
10251	aposentado, aposentada (PT)		/ɐpuzẽ'tadu/, /ɐpuzẽ'tadɐ/	/ɐpozẽ'tadu/, /ɐpozẽ'tadɐ/	adjm , adjf		retired	/rɪ'taɪɚd/		adj			jubilado, jubilada	/xuβi'laðo/, /xuβi'laða/		adjm, adjf
10252	sério, séria		/'sɛɾju/, /'sɛɾjɐ/	/'seʁiu/, /'seʁjɐ/	adjm , adjf		serious	/ˈsɪriəs/		adj			serio, seria	/'seɾjo/, /'seɾja/		adjm, adjf
10253	baixo, baixa		/'bajʃu/, /'bajʃɐ/	/'bajʃu/, /'bajʃɐ/	adjm , adjf		short	/ʃɔːrt/		adj			bajo, baja	/'baxo/, /'baxa/		adjm, adjf
10254	curto, curta (cabelo)		/'kuɾtu/, /'kuɾtɐ/	/'kuʁtu/, /'kuʁtɐ/	adjm , adjf		short	/ʃɔːrt/		adj			corto, corta	/'koɾto/, /'koɾta/		adjm, adjf
10255	tímido, tímida		/'timidu/, /'timidɐ/	/'timidu/, /'timidɐ/	adjm , adjf		shy	/'tɪmɪd/		adj			tímido, tímida	/'timiðo/, /'timiða/		adjm, adjf
10256	solteiro, solteira		/sol'tejɾu/, /sol'tejɾɐ/		adjm , adjf		single	/ˈsɪŋɡəl/		adj			soltero, soltera	/solˈteɾa/, /solˈteɾo/		adjm, adjf
10257	miúdo, miúda		/mi.ˈu.du/, /mi.ˈu.dɐ/	/mi.ˈu.du/, /mi.ˈu.dɐ/	adj		small						pequeño, pequeña			
10258	esperto, esperta		/ɨʃ.ˈpɛɾ.tu/, /ɨʃ.ˈpɛɾ.tɐ/	/is.ˈpeʁ.tu/, /is.ˈpeʁ.tɐ/	adj		smart						listo, lista			
10259	liso,a (cabelo)		/'lizu/, /'lizɐ/	/'lizu/, /'lizɐ/	adjm , adjf		smooth	/streɪt/		adj			liso, lisa	/'liso/, /'lisa/		adjm, adjf
10260	sociável		/su.si'a.vɛl/	/so.si'a'vel/	adj m/f		sociable	/'soʊʃəbəl/		adj			sociable	/so.sja'βle/		adj m/f.
10261	teimoso, teimosa		/tei.'mo.zu/, /tei.'mo.zɐ/	/tei.'mo.zu/, /tei.'mo.zɐ/	adj		stubborn						terco, terca			
10262	falador, faladora		/fɐ.lɐ'doɾ/, /fɐ.lɐ'doɾɐ/	/fɐ.la'doɾ/, /fɐ.la'doɾɐ/	adjm , adjf		talkative	/'tɔkətɪv/		adj			hablador, habladora	/aβla'ðoɾ/, /aβla'ðoɾa/		adjm, adjf
10263	elegante		/ɨɫɨ'ɡɐt(ɨ)/	/ɨɫɨ'ɡɐt(ɨ)/	adj m/f		thin	/ˈɛlɪɡənt/					delgado, delgada			
10264	magro, magra		/'maɡɾu/, /'maɡɾɐ/	/'maɡɾu/, /'maɡɾɐ/	adjm , adjf	La palabra magro, y el verbo emagrecer está muy ligado a estar enfermo, así que utilizarla para describir a una persona puede resultar ofensivo. <br>Cuando se quiere hacer un cumplido usar <i>"elegante".<i>	thin	/θɪn/		adj			delgado, delgada	/delˈɣaðo/, /delˈɣaða/		adjm, adjf
10265	arrumado, arrumada		/ɐ.ʁuˈma.du/, /ɐ.ʁuˈma.dɐ/	/ɐ.ʁuˈma.du/, /ɐ.ʁuˈma.dɐ/	adjm , adjf		tidy	/ˈtaɪdi/					arreglado, arreglada	/areˈɣlaðo/, /areˈɣlaða/		
10266	cansada, cansado		/kɐ̃'sɐdɐ/, /kɐ̃'sɐdu/	/kɐ̃'sadɐ/, /kɐ̃'sadu/	adjm , adjf		tired	/ˈtaɪərd/		adj			cansada, cansado	/kan'saðo/, /kan'saða/		adjm, adjf
10267	antipático, antipática		/ɐ̃tʃipɐ'tiku/, /ɐ̃tʃipɐ'tikɐ/	/ɐ̃tʃipɐ'tiku/, /ɐ̃tʃipɐ'tikɐ/	adjm , adjf		unfriendly	/ʌnˈfrɛndli/		adj			antipático, antipática	/anti'patiko/, /anti'patika/		adjm, adjf
10268	dessarrumado, desarrumada		/dɨsɐʁu'madu/, /dɨsɐʁu'madɐ/	/desɐʁu'madu/, /desɐʁu'madɐ/	adjm , adjf		untidy	/ˈmɛsi/		adj			desordenado, desordenada	/desoɾðe'nado/, /desoɾðe'nada/		adjm, adjf
10269	viúvo, viúva		/'vi.u.vo/,  /'vi.u.vɐ/		adjm , adjf		widowed	/ˈwɪdoʊd/		adj			viudo, viuda	/ˈbwido/ , /ˈbwida/		adjm, adjf
