independente	<img src="Mikasa Eren Gathering Wood.JPG">	independente	independente	/ĩ.ˌde.pẽ.ˈdẽ.tɨ/	/ ĩdepẽˈdẽtʃi /	adj m/f			independent	/ˌɪndəˈpɛndənt/	/ˌɪndɪˈpendᵊnt/	adj			independiente	/tɾaβaxaˈðoɾ/, /tɾaβaxaˈðoɾa/		adjm, adjf				indépendant						unabhängig						independent						indipendente											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
inteligente	<img src="Armin_Character.JPG">	inteligente	inteligente	/ĩ.tɨɫiˈʒẽ.tɨ/	/ ĩteliˈʒẽtʃi /	adj m/f			intelligent	/ɪnˈtɛlədʒənt/	/ɪnˈtelɪdʒᵊnt/	adj			inteligente							intelligent						intelligent						intel·ligent						intelligente											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
preguiçoso, preguiçosa	<img src="Hitch_Sleeping.JPG">	preguiçoso, preguiçosa	preguiçoso, preguiçosa	/pɾɨ.ɡi'sozu/, /pɾɨ.ɡi'sozɐ/	/ pɾeɡjˈsɔzu | pɾeɡjˈsɔzɐ /	adjm , adjf			lazy	/ˈleɪzi/	/ˈleɪzi/	adj			perezoso, perezosa			adjm, adjf				paresseux, paresseuse						faul						peresós, peresosa						pigro, pigra											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
cabelo comprido	<img src="Eren_Hair.jpg">	cabelo comprido	cabelo comprido	/kɐ.ˈbe.ɫu kõ.ˈpɾi.du/	/ kaˈbɛlu kõˈpɾidu /	sm + adjm			long	/ˈlɔŋ/	/ˈlɒŋ/	adj			pelo largo			sm + adjm				longs (cheveux)						lange (Haare)						llarg, llarga (cabell)						lunghi, lunga (capelli)											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao::Cabelo Português::Vocabulario::Tipo_Palavra::Adjetivos
longa, longo		longa, longo	longa, longo	/'lõɡɐ/, /'lõɡu/	/ ˈlõɡɐ | ˈlõɡu /	adjf , adjm	que tem grande extensão no comprimento; comprido		long	/ˈlɔŋ/	/ˈlɒŋ/	adj			largo, larga	/'laɾɡo/, /'laɾɡa/		adjf, adjm				long						long						llarg, llarga						lungo, lunga											Português::Curso::A1 Português::Vocabulario::Tipo_Palavra::Adjetivos
mais nova, novo	<img src="Mikasa_Child.jpg">	mais nova, novo	mais nova, novo	/ˈno.vɐ/,  /ˈno.vu/	/ ˈmajs ˈnɔvɐ | ˈnɔvu /	adjm , adjf			new	/ˈnu/	/ˈnjuː/	adj			más joven	/kaˈsaða/  , /kaˈsaðo/		adjm, adjf				plus jeune						jünger						més jove						più giovane											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Pessoas::Descripçao::Idade Português::Vocabulario::Tipo_Palavra::Adjetivos
barulhento, barulhenta	<img src="Eren_Brigento.JPG">	barulhento, barulhenta	barulhento, barulhenta	/bɐ.ɾu.ˈʎẽ.tu/, /bɐ.ɾu.ˈʎẽ.tɐ/	/ baɾuˈʎẽtu | baɾuˈʎẽtɐ /	adjm, adjf			noisy	/ˈnɔɪzi/	/ˈnɔɪzi/	adj			ruidoso, ruidosa (com "b")	/ˈnwe.βa/, /ˈnwe.βo/		adjf, adjm				bruillant						laut						sorollós, sorollosa						rumoroso, rumorosa											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
mais velho, velha	<img src="Levi Dies Old Age.JPG">	mais velho, velha	mais velho, velha	/'vɛʎu/, /'vɛʎɐ/	/ ˈmajs ˈvɛʎu | ˈvɛʎɐ /	adjm , adjf			old	/ˈoʊld/	/ˈəʊld/	adj			el mayor (más ....)							plus âgé						älter						més vell, més vella						più vecchio, più vecchia											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Pessoas::Descripçao::Idade Português::Vocabulario::Tipo_Palavra::Adjetivos
profissional	<img src="rico.webp">	profissional	profissional	/pɾu.fis.si.o.ˈnal/	/ pɾofisioˈnaw /	adj m/f			professional	/pɹəˈfɛʃənl̩/	/prəˈfeʃᵊnᵊl/	adj			profesional	/'bje.xo/, /'bje.xa/		adjm, adjf				professionnel						professionell						professional						professionale											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
ruivo, ruiva	<img src="Isabel_Magnolia.JPG">	ruivo, ruiva	ruivo, ruiva	/'ʁujvu/, /'ʁujvɐ/	/ ˈʁujvu | ˈʁujvɐ /	adjm , adjf			red-haired	/ˈɹɛdˈhɛrd/	/ˌredˈheəd/	adj			pelirrojo, pelirroja							roux, rousse						rothaarig						pel-roig, pel-roja						rosso, rossa											Português::Curso::A1 Português::Vocabulario::Especial::Falso_Amigo Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Pessoas::Descripçao::Cabelo Português::Vocabulario::Tipo_Palavra::Adjetivos
aposentado, aposentada (PT)	<img src="Its_beem_18_years.JPG">	aposentado, aposentada (PT)	aposentado, aposentada (PT)	/ɐpuzẽ'tadu/, /ɐpuzẽ'tadɐ/	/ apozẽˈtadu | apozẽˈtadɐ | pt | /	adjm , adjf			retired	/ɹɪˈtaɪə˞d/	/rɪˈtaɪəd/	adj			jubilado, jubilada	/peˈli'rroxo/, /peˈli'rroxa/		adjm, adjf				retraité, retraitée						rentner						jubilat, jubilada						pensionato, pensionata											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
sério, séria	<img src="Gunther Erd.webp">	sério, séria	sério, séria	/'sɛɾju/, /'sɛɾjɐ/	/ ˈsɛɾiu | ˈsɛɾiɐ /	adjm , adjf			serious	/ˈsɪriəs/	/ˈsɪəriəs/	adj			serio, seria	/xuβi'laðo/, /xuβi'laða/		adjm, adjf				sérieux, sérieuse						ernst						seriós, seriosa						serio, seria											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
baixo, baixa	<img src="Bertholdt_Levi_Height.jpg">	baixo, baixa	baixo, baixa	/'bajʃu/, /'bajʃɐ/	/ ˈbajʃu | ˈbajʃɐ /	adjm , adjf			short	/ˈʃɔrt/	/ˈʃɔːt/	adj			bajo, baja	/'seɾjo/, /'seɾja/		adjm, adjf				petit, petite						klein						baix, baixa						basso, bassa											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Pessoas::Descripçao::Corpo Português::Vocabulario::Tipo_Palavra::Adjetivos
cabelo curto	<img src="Mikasa_Short_Hair.JPG">	cabelo curto	cabelo curto	/kɐ.ˈbe.ɫu ˈkuɾ.tu/	/ kaˈbɛlu ˈkuʁtu /	s + adjm			short hair	/ˈʃɔrt/	/ˈʃɔːt/	adj			pelo corto			adjm, adjf				court (cheveux)						kurz (Haare)						cabell curt						capelli corti											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Pessoas::Descripçao::Cabelo Português::Vocabulario::Tipo_Palavra::Adjetivos
tímido, tímida	<img src="Mikasa Shy Child SM.JPG">	tímido, tímida	tímido, tímida	/'timidu/, /'timidɐ/	/ ˈtʃimidu | ˈtʃimidɐ /	adjm , adjf			shy	/ˈʃaɪ/	/ˈʃaɪ/	adj			tímido, tímida	/'koɾto/, /'koɾta/		adjm, adjf				timide						schüchtern						tímid, tímida						timido, timida											Português::Curso::A1 Português::Vocabulario::Pessoas::Carácter Português::Vocabulario::Tipo_Palavra::Adjetivos
